date,visitors,convention,roomsavail,occupancy,avgrate,revperroom,roomnights,planepassengers,avgtraffic,gamingrevenue
Aug-2019,3579000,657800,149032,0.877,120.96,106.08,4049400,4431608,124641,791560000.0
Sep-2019,3475900,459400,149050,0.883,137.11,121.07,3946800,4324072,117399,913572000.0
Oct-2019,3668100,525300,149282,0.9,135.33,121.8,4179000,4609318,120938,879034000.0
Nov-2019,3509800,603200,149459,0.882,134.95,119.03,3955800,4178993,115148,805215000.0
Dec-2019,3465700,356100,149422,0.851,125.08,106.44,3941600,4248466,118909,917553000.0
