code,country,pop,gdp,life,cell
MDG,Madagascar,24.89,10.0,65.93,8.0
MDV,Maldives,0.43,4.22,77.34,0.81
MEX,Mexico,127.54,1046.92,77.12,111.73
MHL,Marshall Islands,0.05,0.19,,
MKD,"Macedonia, FYR",2.08,10.9,75.7,2.05
MLI,Mali,17.99,14.03,57.97,20.22
MLT,Malta,0.44,11.0,81.8,0.53
MMR,Myanmar,52.89,63.23,66.61,50.59
MNE,Montenegro,0.62,4.37,77.12,1.04
MNG,Mongolia,3.03,11.18,69.29,3.37
MNP,Northern Mariana Islands,0.06,1.24,,
MOZ,Mozambique,28.83,11.01,58.31,15.03
MRT,Mauritania,4.3,4.74,63.24,3.61
MUS,Mauritius,1.26,12.17,74.39,1.81
MWI,Malawi,18.09,5.43,63.22,7.18
MYS,Malaysia,31.19,296.54,75.3,43.91
NAM,Namibia,2.48,10.95,64.39,2.66
NCL,New Caledonia,0.28,,76.96,
NER,Niger,20.67,7.53,60.06,8.72
NGA,Nigeria,185.99,404.65,53.43,154.34
NIC,Nicaragua,6.15,13.23,75.4,7.75
NLD,Netherlands,17.03,777.23,81.51,20.89
NOR,Norway,5.24,371.08,82.51,5.73
NPL,Nepal,28.98,21.13,70.25,32.12
NRU,Nauru,0.01,0.1,,0.01
NZL,New Zealand,4.69,184.97,81.61,5.8
OMN,Oman,4.42,66.29,77.03,6.87
PAK,Pakistan,193.2,278.91,66.48,136.49
PAN,Panama,4.03,55.19,78.0,5.14
PER,Peru,31.77,192.21,74.98,36.93
PHL,Philippines,103.32,304.91,69.09,113.0
PLW,Palau,0.02,0.31,,
PNG,Papua New Guinea,8.08,20.21,65.54,3.78
POL,Poland,37.97,471.36,77.45,53.0
PRI,Puerto Rico,3.41,105.03,79.79,3.25
PRK,"Korea, Dem. People’s Rep.",25.37,,71.68,3.61
PRT,Portugal,10.33,205.18,81.13,11.57
PRY,Paraguay,6.73,27.42,73.12,7.49
PSE,West Bank and Gaza,4.55,13.4,73.47,3.71
PYF,French Polynesia,0.28,,76.81,0.28
QAT,Qatar,2.57,152.45,78.18,3.65
ROU,Romania,19.7,187.59,75.01,22.9
RUS,Russian Federation,144.34,1283.16,71.59,229.13
RWA,Rwanda,11.92,8.38,67.13,8.92
SAU,Saudi Arabia,32.28,646.44,74.56,47.93
SDN,Sudan,39.58,95.58,64.49,27.81
SEN,Senegal,15.41,14.68,67.15,15.19
SGP,Singapore,5.61,296.98,82.8,8.46
SLB,Solomon Islands,0.6,1.2,70.73,0.42
SLE,Sierra Leone,7.4,3.74,51.84,6.28
SLV,El Salvador,6.34,26.8,73.51,9.64
SMR,San Marino,0.03,1.59,,0.04
SOM,Somalia,14.32,6.22,56.29,6.65
