STATION,DATE,EMXT,EMNT
GHCND:USW00014837,19830601,333,22
GHCND:USW00014837,19830701,344,56
GHCND:USW00014837,19830801,361,67
GHCND:USW00014837,19830901,317,6
GHCND:USW00014837,19831001,278,-50
GHCND:USW00014837,19831101,167,-100
GHCND:USW00014837,19831201,22,-317
GHCND:USW00014837,19840101,50,-283
GHCND:USW00014837,19840201,156,-194
GHCND:USW00014837,19840301,100,-194
GHCND:USW00014837,19840401,267,-56
GHCND:USW00014837,19840501,256,-6
GHCND:USW00014837,19840601,300,61
GHCND:USW00014837,19840701,328,78
GHCND:USW00014837,19840801,339,50
GHCND:USW00014837,19840901,306,-33
GHCND:USW00014837,19841001,222,-61
GHCND:USW00014837,19841101,156,-122
GHCND:USW00014837,19841201,167,-200
GHCND:USW00014837,19850101,17,-322
GHCND:USW00014837,19850201,100,-333
GHCND:USW00014837,19850301,189,-128
GHCND:USW00014837,19850401,289,-56
GHCND:USW00014837,19850501,317,0
GHCND:USW00014837,19850601,333,33
GHCND:USW00014837,19850701,322,78
GHCND:USW00014837,19850801,300,67
GHCND:USW00014837,19850901,339,0
GHCND:USW00014837,19851001,217,-11
GHCND:USW00014837,19851101,150,-150
GHCND:USW00014837,19851201,22,-267
GHCND:USW00014837,19860101,50,-294
GHCND:USW00014837,19860201,22,-228
GHCND:USW00014837,19860301,278,-167
GHCND:USW00014837,19860401,283,-72
GHCND:USW00014837,19860501,311,-28
GHCND:USW00014837,19860601,328,33
GHCND:USW00014837,19860701,344,94
GHCND:USW00014837,19860801,289,39
GHCND:USW00014837,19860901,289,22
GHCND:USW00014837,19861001,239,-17
GHCND:USW00014837,19861101,150,-167
GHCND:USW00014837,19861201,33,-222
GHCND:USW00014837,19870101,67,-244
GHCND:USW00014837,19870201,100,-128
GHCND:USW00014837,19870301,217,-117
GHCND:USW00014837,19870401,294,-89
GHCND:USW00014837,19870501,300,0
GHCND:USW00014837,19870601,350,50
GHCND:USW00014837,19870701,350,94
GHCND:USW00014837,19870801,350,61
GHCND:USW00014837,19870901,289,17
GHCND:USW00014837,19871001,222,-61
GHCND:USW00014837,19871101,222,-111
GHCND:USW00014837,19871201,89,-172
GHCND:USW00014837,19880101,78,-294
GHCND:USW00014837,19880201,106,-239
GHCND:USW00014837,19880301,172,-117
GHCND:USW00014837,19880401,256,-72
GHCND:USW00014837,19880501,317,-11
GHCND:USW00014837,19880601,383,17
GHCND:USW00014837,19880701,378,67
GHCND:USW00014837,19880801,389,61
GHCND:USW00014837,19880901,317,17
GHCND:USW00014837,19881001,233,-106
GHCND:USW00014837,19881101,178,-72
GHCND:USW00014837,19881201,117,-178
GHCND:USW00014837,19890101,133,-183
GHCND:USW00014837,19890201,50,-228
GHCND:USW00014837,19890301,239,-167
GHCND:USW00014837,19890401,239,-72
GHCND:USW00014837,19890501,294,-44
GHCND:USW00014837,19890601,328,56
GHCND:USW00014837,19890701,361,100
GHCND:USW00014837,19890801,328,78
GHCND:USW00014837,19890901,267,-22
GHCND:USW00014837,19891001,272,-44
GHCND:USW00014837,19891101,194,-161
GHCND:USW00014837,19891201,100,-278
GHCND:USW00014837,19900101,100,-144
GHCND:USW00014837,19900201,117,-200
GHCND:USW00014837,19900301,239,-89
GHCND:USW00014837,19900401,294,-72
GHCND:USW00014837,19900501,250,-17
GHCND:USW00014837,19900601,322,22
GHCND:USW00014837,19900701,344,83
GHCND:USW00014837,19900801,333,72
GHCND:USW00014837,19900901,339,50
GHCND:USW00014837,19901001,272,-44
GHCND:USW00014837,19901101,222,-78
GHCND:USW00014837,19901201,94,-239
GHCND:USW00014837,19910101,50,-267
GHCND:USW00014837,19910201,94,-189
GHCND:USW00014837,19910301,228,-100
GHCND:USW00014837,19910401,294,-50
GHCND:USW00014837,19910501,333,6
GHCND:USW00014837,19910601,344,67
GHCND:USW00014837,19910701,344,94
GHCND:USW00014837,19910801,333,83
GHCND:USW00014837,19910901,317,-28
GHCND:USW00014837,19911001,250,-44
GHCND:USW00014837,19911101,156,-172
GHCND:USW00014837,19911201,117,-189
GHCND:USW00014837,19920101,72,-217
GHCND:USW00014837,19920201,111,-167
GHCND:USW00014837,19920301,172,-128
GHCND:USW00014837,19920401,228,-89
GHCND:USW00014837,19920501,311,-39
GHCND:USW00014837,19920601,333,22
GHCND:USW00014837,19920701,322,89
GHCND:USW00014837,19920801,339,56
GHCND:USW00014837,19920901,278,-11
GHCND:USW00014837,19921001,272,-78
GHCND:USW00014837,19921101,122,-100
GHCND:USW00014837,19921201,39,-206
GHCND:USW00014837,19930101,78,-233
GHCND:USW00014837,19930201,83,-233
GHCND:USW00014837,19930301,183,-194
GHCND:USW00014837,19930401,233,-78
GHCND:USW00014837,19930501,306,17
GHCND:USW00014837,19930601,317,22
GHCND:USW00014837,19930701,317,106
GHCND:USW00014837,19930801,328,100
GHCND:USW00014837,19930901,278,-22
GHCND:USW00014837,19931001,278,-44
GHCND:USW00014837,19931101,156,-89
GHCND:USW00014837,19931201,89,-206
GHCND:USW00014837,19940101,39,-328
GHCND:USW00014837,19940201,100,-283
GHCND:USW00014837,19940301,200,-100
GHCND:USW00014837,19940401,289,-72
GHCND:USW00014837,19940501,311,-11
GHCND:USW00014837,19940601,372,28
GHCND:USW00014837,19940701,333,100
GHCND:USW00014837,19940801,317,72
GHCND:USW00014837,19940901,311,33
GHCND:USW00014837,19941001,250,-11
GHCND:USW00014837,19941101,156,-72
GHCND:USW00014837,19941201,128,-183
GHCND:USW00014837,19950101,50,-217
GHCND:USW00014837,19950201,89,-206
GHCND:USW00014837,19950301,239,-194
GHCND:USW00014837,19950401,206,-100
GHCND:USW00014837,19950501,289,6
GHCND:USW00014837,19950601,356,78
GHCND:USW00014837,19950701,383,67
GHCND:USW00014837,19950801,372,139
GHCND:USW00014837,19950901,300,-22
GHCND:USW00014837,19951001,283,-28
GHCND:USW00014837,19951101,139,-189
GHCND:USW00014837,19951201,89,-217
GHCND:USW00014837,19960101,122,-294
GHCND:USW00014837,19960201,133,-339
GHCND:USW00014837,19960301,167,-211
GHCND:USW00014837,19960401,244,-78
GHCND:USW00014837,19960501,300,-11
GHCND:USW00014837,19960601,333,67
GHCND:USW00014837,19960701,306,83
GHCND:USW00014837,19960801,311,89
GHCND:USW00014837,19960901,294,33
GHCND:USW00014837,19961001,239,-33
GHCND:USW00014837,19961101,156,-189
GHCND:USW00014837,19961201,56,-228
GHCND:USW00014837,19970101,78,-239
GHCND:USW00014837,19970201,106,-217
GHCND:USW00014837,19970301,228,-156
GHCND:USW00014837,19970401,233,-94
GHCND:USW00014837,19970501,228,-28
GHCND:USW00014837,19970601,322,67
GHCND:USW00014837,19970701,339,72
GHCND:USW00014837,19970801,300,89
GHCND:USW00014837,19970901,278,11
